School,RespondentID,CollectorID,IP Address,Expectations Known,Have Needed Materials,Do Best,Praise in Last Week,Someone Cares,Development encouraged,Mu Opinions Matter,Mission is Important,Hi-Quality Coworkers,Best Friend,Progress Check-ins,Opportunity to Learn 
KAPS,2313519211,35570919,66.146.204.74,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree
KAPS,2313491790,35570919,66.146.204.74,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
KAMS,2336676545,35570753,174.253.2.238,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
KAMS,2335979847,35570753,205.178.45.21,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
KAMS,2326046091,35570753,64.150.16.10,Agree,Neutral,Agree,Neural,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree
KAMS,2324292187,35570753,174.231.129.28,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree
KAMS,2322904208,35570753,99.133.153.16,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
KAMS,2322474127,35570753,66.146.204.74,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree
KAMS,2322256520,35570753,66.146.204.74,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
KAMS,2321520787,35570753,66.146.204.74,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
KAMS,2320258009,35570753,66.146.204.74,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree
KAMS,2320212669,35570753,66.146.204.74,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree
KAMS,2319752681,35570753,66.146.204.74,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree
KAMS,2319725255,35570753,174.253.2.187,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral
KAMS,2319490889,35570753,64.150.17.2,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Disagree,Agree,Agree
KAMS,2319482595,35570753,66.146.204.74,Agree,Disagree,Strongly Agree,Neural,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree
KAMS,2319194273,35570753,24.14.251.40,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
KAMS,2319086169,35570753,67.167.253.102,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree
KAMS,2319084612,35570753,108.234.33.7,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
KAMS,2319063181,35570753,208.90.43.196,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
KAMS,2319049311,35570753,207.229.184.21,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
KAMS,2319047368,35570753,67.162.24.243,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
KAMS,2319047329,35570753,98.222.42.47,Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree
KAMS,2318469321,35570753,66.146.204.74,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree
KAMS,2316320410,35570753,66.146.204.74,Disagree,Agree,Disagree,Neural,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree
KCCP,2336134565,35570825,67.175.212.18,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
KCCP,2330669934,35570825,66.146.204.74,Agree,Agree,Disagree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree
KCCP,2330437017,35570825,66.146.204.74,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree
KCCP,2324971855,35570825,66.146.204.74,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree
KCCP,2324969918,35570825,66.146.204.74,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree
