School,RespondentID,CollectorID,IP Address,Expectations Known,Have Needed Materials,Do Best,Praise in Last Week,Someone Cares,Development encouraged,Mu Opinions Matter,Mission is Important,Hi-Quality Coworkers,Best Friend,Progress Check-ins,Opportunity to Learn 
KAP,2898808686,46485708,66.146.204.74,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree
KAP,2898804014,46485708,66.146.204.74,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree
KAP,2898802087,46485708,66.146.204.74,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree
KAP,2898800689,46485708,66.146.204.74,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree
KAP,2898799318,46485708,66.146.204.74,Agree,Strongly Agree,Agree,Neural,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree
KAP,2898781763,46485708,66.146.204.74,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree
KAP,2898439286,46485708,66.146.204.74,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree
KAP,2898234660,46485708,66.146.204.74,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Neutral
KAP,2898161894,46485708,66.146.204.74,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree
KAP,2897376734,46485708,76.29.32.9,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree
KAP,2897307746,46485708,50.158.77.61,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
KAP,2897033733,46485708,76.16.103.180,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree
KAP,2897026660,46485708,24.148.81.235,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree
KAP,2896961301,46485708,99.138.163.171,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree
KAP,2896961146,46485708,107.193.34.86,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Agree
KAMS,2916652176,46485712,99.125.162.20,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree
KAMS,2916150027,46485712,66.146.204.74,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
KAMS,2916136791,46485712,66.146.204.74,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Neutral
KAMS,2916128621,46485712,66.146.204.74,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree
KAMS,2916115229,46485712,66.146.204.74,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
KAMS,2916110963,46485712,66.146.204.74,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree
KAMS,2915814624,46485712,66.146.204.74,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
KAMS,2915340413,46485712,66.146.204.74,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree
KAMS,2910407876,46485712,96.24.156.19,Disagree,,,,,,,,,,,
KAMS,2910109508,46485712,174.238.192.221,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree
KAMS,2909223963,46485712,24.13.51.69,Agree,Strongly Agree,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Agree,Disagree
KAMS,2909154566,46485712,66.146.204.74,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral
KAMS,2909142004,46485712,70.194.73.20,Agree,Agree,,,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,
KAMS,2909012707,46485712,66.146.204.74,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree
KAMS,2908856910,46485712,66.146.204.74,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree
KAMS,2908711175,46485712,64.150.16.23,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree
KAMS,2908593514,46485712,66.146.204.74,Neutral,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
KAMS,2908480289,46485712,66.146.204.74,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree
KAMS,2908205044,46485712,66.146.204.74,Disagree,Neutral,Neutral,,,,,,,,,
KAMS,2907266308,46485712,67.186.97.209,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree
KAMS,2907113131,46485712,50.165.13.169,Agree,Strongly Agree,Disagree,Neural,Agree,Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Agree
KAMS,2906991840,46485712,38.100.116.2,Neutral,Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Agree
KAMS,2906485307,46485712,66.146.204.74,Agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree
KAMS,2904626197,46485712,99.119.125.189,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Agree
KAMS,2902029057,46485712,66.146.204.74,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree
KAMS,2900544645,46485712,66.146.204.74,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree
KCCP,2920729461,46485697,66.146.204.74,Agree,Neutral,Strongly Agree,Neural,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree
KCCP,2914991910,46485697,66.146.204.74,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
KCCP,2910224881,46485697,68.54.223.49,Strongly Agree,Strongly Agree,Strongly Agree,Neural,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree
KCCP,2909392587,46485697,24.148.79.240,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree
KCCP,2908711213,46485697,66.146.204.74,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree
KCCP,2908509268,46485697,66.146.204.74,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree
KCCP,2908496644,46485697,66.146.204.74,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree
KCCP,2907987835,46485697,66.146.204.74,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree
KCCP,2907268246,46485697,24.1.117.91,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree
KCCP,2900488519,46485697,66.146.204.74,Disagree,Neutral,Neutral,Neural,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral
KCCP,2898302283,46485697,66.146.204.74,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
KCCP,2897406361,46485697,67.167.203.254,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
KCCP,2897347695,46485697,99.97.14.9,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
KCCP,2897343392,46485697,8.23.141.108,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
KBCP,2904406013,46485677,165.124.128.186,Neutral,Disagree,Disagree,Neural,Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Disagree
KBCP,2901270478,46485677,70.194.76.149,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Agree
KBCP,2900819312,46485677,66.146.204.74,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree
KBCP,2899419251,46485677,50.141.165.186,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
KBCP,2886427595,46485677,66.146.204.74,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
KBCP,2886422305,46485677,66.146.204.74,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
KBCP,2886420338,46485677,64.150.16.10,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
KBCP,2886413628,46485677,66.146.204.74,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
KBCP,2886404996,46485677,66.146.204.74,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree
