id,year,classid,female,male,hispanic,white,black,asian,native,race,freelunch,ell,sped,grade,test,bump,st_math
63133,2010,3,0,1,0,0,1,0,0,"black",1,0,0,6,62.74543,.9356636,0
77247,2010,3,0,1,0,0,1,0,0,"black",1,0,0,6,60.97306,2.049961,0
83605,2010,3,1,0,0,0,1,0,0,"black",1,0,0,6,63.77578,2.375653,0
100373,2010,3,1,0,0,0,1,0,0,"black",0,0,0,6,61.92978,1.89176,0
101715,2010,3,1,0,0,0,1,0,0,"black",1,1,0,6,62.07627,3.248908,0
110609,2010,3,1,0,0,0,1,0,0,"black",1,0,0,6,59.84405,2.459797,0
136661,2010,3,1,0,0,0,1,0,0,"black",1,0,0,6,61.52876,1.995358,0
137009,2010,3,0,1,0,0,1,0,0,"black",1,0,0,6,60.04858,1.528068,0
140317,2010,3,0,1,0,0,1,0,0,"black",1,0,0,6,61.30976,4.211932,0
147570,2010,3,1,0,0,0,1,0,0,"black",0,0,0,6,64.2299,1.821912,0
158109,2010,3,1,0,0,0,1,0,0,"black",1,0,0,6,62.61781,2.392249,0
166663,2010,3,0,1,0,0,1,0,0,"black",1,0,1,6,62.67757,3.957085,0
169777,2010,3,1,0,0,0,1,0,0,"black",0,0,0,6,60.37511,3.85301,0
171963,2010,3,1,0,0,0,1,0,0,"black",1,0,0,6,59.0759,3.640141,0
179077,2010,3,1,0,1,0,0,0,0,"hispanic",1,0,0,6,64.06908,1.793442,0
183311,2010,3,1,0,1,0,0,0,0,"hispanic",1,0,1,6,60.30303,4.696652,0
195070,2010,3,0,1,0,0,1,0,0,"black",1,0,0,6,60.80899,1.987517,0
197559,2010,3,1,0,0,0,1,0,0,"black",0,0,0,6,60.52567,3.478365,0
199881,2010,3,0,1,0,0,1,0,0,"black",1,0,0,6,63.49584,.4626157,0
221980,2010,3,0,1,0,0,1,0,0,"black",1,0,0,6,63.79667,1.650695,0
229118,2010,3,1,0,0,0,1,0,0,"black",1,0,0,6,61.07421,1.83761,0
248596,2010,3,1,0,1,0,0,0,0,"hispanic",1,0,1,6,62.33141,3.307619,0
279897,2010,3,0,1,1,0,0,0,0,"hispanic",1,0,1,6,64.64214,2.008881,0
286916,2010,3,1,0,0,0,1,0,0,"black",1,0,0,6,59.58611,3.658204,0
290123,2010,3,1,0,1,0,0,0,0,"hispanic",1,0,0,6,60.9082,1.450898,0
291036,2010,3,0,1,1,0,0,0,0,"hispanic",1,0,1,6,58.33537,4.078726,0
299173,2010,3,0,1,0,0,0,1,0,"asian",1,0,1,6,60.46516,.6799952,0
28450,2010,4,0,1,0,0,0,1,0,"asian",1,0,0,6,65.46478,2.014286,0
49022,2010,4,0,1,1,0,0,0,0,"hispanic",1,0,1,6,63.83559,3.760481,0
65678,2010,4,0,1,0,1,0,0,0,"white",1,0,1,6,63.68731,3.00593,0
84153,2010,4,1,0,0,1,0,0,0,"white",1,0,0,6,65.42868,2.716828,0
116866,2010,4,0,1,1,0,0,0,0,"hispanic",1,0,0,6,64.39709,1.669051,0
136266,2010,4,0,1,0,0,1,0,0,"black",1,0,0,6,64.33089,2.660203,0
143707,2010,4,1,0,1,0,0,0,0,"hispanic",1,0,1,6,64.05128,2.64972,0
146479,2010,4,1,0,0,0,1,0,0,"black",0,0,0,6,64.81708,1.302205,0
151425,2010,4,0,1,0,0,1,0,0,"black",1,0,0,6,65.78774,1.084546,0
156460,2010,4,1,0,0,0,1,0,0,"black",0,0,0,6,65.47327,2.962981,0
181125,2010,4,0,1,0,0,1,0,0,"black",1,0,0,6,65.67416,3.408511,0
182419,2010,4,0,1,1,0,0,0,0,"hispanic",1,0,1,6,65.01899,1.884304,0
191027,2010,4,0,1,1,0,0,0,0,"hispanic",1,1,0,6,64.38979,1.113008,0
197758,2010,4,1,0,0,0,1,0,0,"black",1,0,0,6,64.34519,2.131283,0
219307,2010,4,0,1,1,0,0,0,0,"hispanic",1,1,0,6,65.67014,.1986849,0
248253,2010,4,1,0,1,0,0,0,0,"hispanic",1,1,0,6,64.81854,2.076833,0
252875,2010,4,0,1,0,0,1,0,0,"black",1,0,0,6,65.1871,1.132597,0
267188,2010,4,1,0,0,0,0,1,0,"asian",1,1,1,6,65.97575,2.699728,0
277960,2010,4,1,0,0,0,0,1,0,"asian",1,1,0,6,63.75499,2.333134,0
280328,2010,4,0,1,1,0,0,0,0,"hispanic",1,0,1,6,65.19338,2.855645,0
285245,2010,4,1,0,1,0,0,0,0,"hispanic",1,0,0,6,66.18531,1.723543,0
292908,2010,4,0,1,0,0,0,1,0,"asian",1,0,0,6,66.61534,2.83115,0
299135,2010,4,0,1,0,0,0,1,0,"asian",1,0,1,6,63.56112,2.419667,0
14931,2010,5,1,0,0,1,0,0,0,"white",0,0,0,6,70.47106,.2576733,0
44283,2010,5,0,1,0,1,0,0,0,"white",1,0,0,6,66.90775,3.317431,0
54650,2010,5,1,0,1,0,0,0,0,"hispanic",0,0,1,6,69.57545,2.258685,0
55378,2010,5,1,0,1,0,0,0,0,"hispanic",1,1,0,6,68.37482,2.65952,0
89386,2010,5,0,1,1,0,0,0,0,"hispanic",1,1,0,6,69.22277,2.76699,0
93983,2010,5,0,1,1,0,0,0,0,"hispanic",1,0,0,6,71.80648,2.749745,0
150677,2010,5,0,1,0,0,1,0,0,"black",1,0,0,6,67.60625,1.538903,0
150833,2010,5,1,0,0,0,1,0,0,"black",1,0,0,6,67.81938,2.849186,0
157857,2010,5,1,0,0,0,1,0,0,"black",1,0,0,6,70.23551,3.785049,0
175194,2010,5,0,1,1,0,0,0,0,"hispanic",0,0,1,6,68.47877,4.126569,0
175386,2010,5,1,0,1,0,0,0,0,"hispanic",1,0,0,6,69.15287,1.997291,0
177109,2010,5,1,0,0,0,1,0,0,"black",1,0,0,6,67.80828,2.096626,0
190760,2010,5,1,0,0,0,1,0,0,"black",1,0,0,6,68.31995,2.13534,0
195387,2010,5,0,1,0,0,1,0,0,"black",0,0,0,6,68.80099,2.162674,0
198187,2010,5,1,0,1,0,0,0,0,"hispanic",0,0,0,6,67.91235,1.556551,0
200776,2010,5,0,1,0,1,0,0,0,"white",0,0,0,6,66.84206,2.521024,0
216589,2010,5,1,0,1,0,0,0,0,"hispanic",1,1,0,6,67.77772,2.88493,0
217253,2010,5,0,1,1,0,0,0,0,"hispanic",0,0,1,6,69.71729,2.037192,0
243061,2010,5,1,0,1,0,0,0,0,"hispanic",1,0,0,6,66.49456,3.366135,0
246811,2010,5,1,0,1,0,0,0,0,"hispanic",1,0,1,6,68.01157,3.308059,0
260852,2010,5,1,0,0,0,0,1,0,"asian",1,0,0,6,70.31813,2.417551,0
264456,2010,5,1,0,0,1,0,0,0,"white",1,0,0,6,65.37944,3.087969,0
267012,2010,5,1,0,0,0,1,0,0,"black",1,0,0,6,71.1441,1.829791,0
268343,2010,5,1,0,1,0,0,0,0,"hispanic",1,0,0,6,68.90244,3.579289,0
278470,2010,5,1,0,1,0,0,0,0,"hispanic",1,0,1,6,67.61391,3.30322,0
278558,2010,5,0,1,1,0,0,0,0,"hispanic",1,0,0,6,69.55051,2.319244,0
283774,2010,5,0,1,1,0,0,0,0,"hispanic",1,1,0,6,69.79496,2.019713,0
293399,2010,5,1,0,0,0,0,1,0,"asian",1,0,0,6,70.23797,1.240759,0
23450,2010,6,1,0,1,0,0,0,0,"hispanic",1,0,0,6,70.80518,2.071371,0
33338,2010,6,0,1,0,0,1,0,0,"black",1,0,1,6,71.26048,2.023584,0
49900,2010,6,0,1,0,0,1,0,0,"black",0,0,0,6,75.01983,2.966278,0
51621,2010,6,0,1,0,1,0,0,0,"white",0,0,0,6,75.1447,2.142317,0
54908,2010,6,0,1,1,0,0,0,0,"hispanic",1,0,1,6,72.60321,2.935065,0
89975,2010,6,0,1,1,0,0,0,0,"hispanic",1,1,1,6,75.01805,2.454222,0
93006,2010,6,0,1,0,0,1,0,0,"black",1,0,0,6,72.39893,1.118201,0
98316,2010,6,1,0,1,0,0,0,0,"hispanic",1,0,0,6,76.03753,2.244918,0
150792,2010,6,1,0,0,0,1,0,0,"black",0,0,0,6,75.13509,.7762506,0
171853,2010,6,0,1,0,0,1,0,0,"black",1,0,0,6,71.79295,2.371722,0
174482,2010,6,1,0,1,0,0,0,0,"hispanic",0,0,0,6,69.96806,2.966001,0
182649,2010,6,1,0,0,0,1,0,0,"black",1,0,0,6,71.27074,3.560792,0
184810,2010,6,0,1,1,0,0,0,0,"hispanic",1,1,0,6,71.98804,1.655729,0
203258,2010,6,0,1,0,0,1,0,0,"black",1,0,0,6,71.16844,3.009863,0
216917,2010,6,0,1,1,0,0,0,0,"hispanic",1,0,0,6,74.22535,3.998689,0
217965,2010,6,1,0,1,0,0,0,0,"hispanic",1,0,0,6,74.84216,2.598313,0
218051,2010,6,0,1,0,0,0,1,0,"asian",0,0,0,6,71.18958,1.452341,0
221845,2010,6,0,1,0,0,1,0,0,"black",1,0,1,6,74.81579,2.084479,0
247864,2010,6,1,0,1,0,0,0,0,"hispanic",1,0,0,6,71.449,1.693871,0
249166,2010,6,1,0,0,1,0,0,0,"white",0,0,0,6,76.14172,2.020801,0
250676,2010,6,0,1,1,0,0,0,0,"hispanic",1,0,0,6,74.84208,4.359181,0
260840,2010,6,1,0,0,0,1,0,0,"black",0,0,0,6,73.38223,.9435143,0
281037,2010,6,0,1,0,0,0,1,0,"asian",1,1,0,6,73.3729,2.771089,0
282658,2010,6,1,0,1,0,0,0,0,"hispanic",1,1,0,6,75.63113,1.400252,0
283617,2010,6,1,0,1,0,0,0,0,"hispanic",1,1,0,6,75.07207,2.572431,0
283692,2010,6,1,0,1,0,0,0,0,"hispanic",1,0,0,6,74.51255,1.423612,0
284187,2010,6,1,0,1,0,0,0,0,"hispanic",0,1,0,6,72.99964,2.063793,0
289695,2010,6,0,1,1,0,0,0,0,"hispanic",1,1,1,6,76.0205,1.845149,0
297620,2010,6,1,0,0,0,0,1,0,"asian",1,0,1,6,70.83275,1.806362,0
297831,2010,6,0,1,0,0,1,0,0,"black",1,0,0,6,75.41348,1.159601,0
11835,2010,7,0,1,1,0,0,0,0,"hispanic",0,0,1,6,77.613,1.82594,0
19439,2010,7,1,0,1,0,0,0,0,"hispanic",1,0,0,6,83.54799,2.191842,0
49369,2010,7,1,0,0,0,0,1,0,"asian",1,0,0,6,76.62592,1.96659,0
61295,2010,7,1,0,0,1,0,0,0,"white",0,0,0,6,82.97157,1.977533,0
64860,2010,7,0,1,0,0,1,0,0,"black",1,0,0,6,77.25435,1.919162,0
70971,2010,7,0,1,0,1,0,0,0,"white",0,0,0,6,84.04937,4.246469,0
89274,2010,7,1,0,0,1,0,0,0,"white",1,0,0,6,85.23482,2.827514,0
92866,2010,7,1,0,0,0,1,0,0,"black",0,0,0,6,82.50799,1.443504,0
108723,2010,7,0,1,0,1,0,0,0,"white",1,0,0,6,77.16914,1.56155,0
109295,2010,7,0,1,0,1,0,0,0,"white",0,0,0,6,80.16736,2.601672,0
150208,2010,7,0,1,0,0,1,0,0,"black",0,0,0,6,84.23247,1.526711,0
157812,2010,7,1,0,0,0,0,1,0,"asian",0,0,0,6,77.08593,3.348168,0
166574,2010,7,1,0,0,0,1,0,0,"black",0,0,0,6,78.28792,2.864866,0
170670,2010,7,1,0,0,0,1,0,0,"black",1,0,0,6,78.93204,3.602913,0
202412,2010,7,0,1,0,1,0,0,0,"white",1,0,0,6,79.09947,3.348611,0
211741,2010,7,0,1,0,0,0,1,0,"asian",1,0,0,6,82.73648,1.104379,0
218165,2010,7,0,1,0,0,0,1,0,"asian",0,0,0,6,76.39234,3.094344,0
221722,2010,7,1,0,0,0,0,1,0,"asian",1,0,0,6,84.67626,2.495193,0
222823,2010,7,0,1,1,0,0,0,0,"hispanic",0,0,0,6,75.2512,1.553239,0
226764,2010,7,0,1,0,1,0,0,0,"white",0,0,0,6,79.17707,2.355122,0
233263,2010,7,1,0,0,1,0,0,0,"white",1,0,0,6,76.89079,1.728356,0
243056,2010,7,0,1,1,0,0,0,0,"hispanic",1,1,1,6,77.27673,1.698308,0
248585,2010,7,1,0,1,0,0,0,0,"hispanic",1,0,0,6,78.57114,1.653478,0
253551,2010,7,1,0,0,1,0,0,0,"white",0,1,0,6,83.88488,2.588968,0
261758,2010,7,1,0,0,1,0,0,0,"white",1,0,0,6,82.97071,1.736437,0
269266,2010,7,0,1,0,0,1,0,0,"black",0,0,0,6,77.97491,2.554613,0
299169,2010,7,1,0,0,0,0,1,0,"asian",1,1,0,6,81.45388,5.942628,0
299342,2010,7,0,1,0,0,0,1,0,"asian",1,0,1,6,78.62825,1.680555,0
12977,2010,8,0,1,0,1,0,0,0,"white",0,0,0,6,96.76591,1.414258,0
33727,2010,8,1,0,0,0,0,1,0,"asian",1,0,0,6,90.26009,3.206085,0
37154,2010,8,1,0,0,0,0,1,0,"asian",0,0,0,6,89.40843,1.848886,0
40693,2010,8,0,1,0,1,0,0,0,"white",1,0,0,6,97.99203,2.609614,0
43112,2010,8,1,0,0,0,1,0,0,"black",0,0,0,6,103.6231,2.84263,0
48013,2010,8,0,1,0,1,0,0,0,"white",0,0,0,6,106.3168,3.332225,0
54443,2010,8,1,0,0,0,0,1,0,"asian",0,0,0,6,92.32885,4.21553,0
56036,2010,8,0,1,0,0,0,1,0,"asian",1,0,0,6,95.96656,1.265708,0
63690,2010,8,0,1,0,0,1,0,0,"black",0,0,0,6,96.14977,2.552772,0
68156,2010,8,1,0,0,0,0,1,0,"asian",1,0,0,6,100.8352,4.113443,0
87447,2010,8,1,0,0,0,0,1,0,"asian",0,0,0,6,114.119,2.626242,0
95952,2010,8,0,1,1,0,0,0,0,"hispanic",0,0,0,6,85.604,1.463463,0
127973,2010,8,1,0,0,0,0,1,0,"asian",1,0,0,6,101.6789,2.947356,0
151089,2010,8,1,0,0,0,1,0,0,"black",1,0,0,6,86.70017,3.057443,0
164319,2010,8,0,1,1,0,0,0,0,"hispanic",0,0,1,6,91.30857,3.366362,0
181818,2010,8,1,0,1,0,0,0,0,"hispanic",0,0,0,6,99.71524,3.419064,0
195246,2010,8,1,0,0,0,1,0,0,"black",0,0,0,6,87.00896,3.431794,0
221152,2010,8,1,0,0,1,0,0,0,"white",0,0,0,6,91.53693,3.693988,0
237226,2010,8,0,1,1,0,0,0,0,"hispanic",1,0,0,6,88.20763,.6678056,0
264307,2010,8,0,1,0,0,1,0,0,"black",1,0,0,6,85.10323,2.81356,0
269886,2010,8,1,0,1,0,0,0,0,"hispanic",0,0,0,6,96.19134,4.428568,0
270183,2010,8,1,0,0,0,0,1,0,"asian",0,0,0,6,107.4438,2.987768,0
277134,2010,8,0,1,0,0,0,1,0,"asian",1,0,0,6,86.2377,2.128038,0
281582,2010,8,0,1,0,0,0,1,0,"asian",1,0,0,6,101.0417,1.978449,0
282113,2010,8,0,1,1,0,0,0,0,"hispanic",1,1,1,6,85.27097,1.014646,0
286379,2010,8,1,0,0,0,0,1,0,"asian",1,0,0,6,102.2846,-.0810623,0
290657,2010,8,0,1,0,0,0,1,0,"asian",0,0,0,6,94.45442,1.474627,0
293375,2010,8,1,0,0,0,0,1,0,"asian",0,0,0,6,92.07191,3.389455,0
296966,2010,8,1,0,0,0,0,1,0,"asian",0,0,0,6,103.2558,1.357639,0
15063,2010,9,1,0,0,0,1,0,0,"black",1,0,0,7,44.87585,2.878338,0
26484,2010,9,0,1,1,0,0,0,0,"hispanic",1,1,0,7,49.42921,3.025643,0
27975,2010,9,1,0,1,0,0,0,0,"hispanic",1,1,0,7,56.1632,2.6446,0
34658,2010,9,0,1,1,0,0,0,0,"hispanic",1,1,1,7,53.89534,3.223841,0
50901,2010,9,1,0,1,0,0,0,0,"hispanic",1,1,1,7,51.97336,3.264369,0
57361,2010,9,0,1,0,0,1,0,0,"black",1,0,0,7,52.24156,4.049983,0
92723,2010,9,0,1,0,0,0,1,0,"asian",1,1,0,7,49.85941,3.011078,0
144161,2010,9,1,0,0,1,0,0,0,"white",0,0,1,7,50.44543,2.934999,0
148068,2010,9,0,1,1,0,0,0,0,"hispanic",1,1,1,7,49.59054,3.350917,0
161652,2010,9,0,1,1,0,0,0,0,"hispanic",1,1,1,7,48.19389,4.064702,0
164275,2010,9,1,0,1,0,0,0,0,"hispanic",1,1,1,7,39.67636,3.065536,0
165002,2010,9,0,1,1,0,0,0,0,"hispanic",1,0,1,7,51.27596,1.976656,0
165561,2010,9,1,0,0,0,1,0,0,"black",1,0,0,7,44.15635,3.847604,0
174052,2010,9,0,1,0,0,1,0,0,"black",1,0,0,7,55.5296,2.398932,0
182763,2010,9,0,1,0,0,1,0,0,"black",1,0,0,7,53.6316,3.853886,0
185866,2010,9,0,1,0,0,1,0,0,"black",1,0,1,7,50.02186,1.915858,0
190887,2010,9,1,0,1,0,0,0,0,"hispanic",1,1,1,7,49.22014,1.361083,0
199717,2010,9,1,0,0,0,1,0,0,"black",1,0,1,7,39.89306,3.263271,0
203919,2010,9,1,0,0,0,1,0,0,"black",1,0,1,7,47.04874,2.959535,0
210968,2010,9,0,1,0,0,1,0,0,"black",1,1,0,7,55.81143,1.837431,0
211059,2010,9,1,0,0,0,1,0,0,"black",1,1,0,7,51.14762,3.224611,0
213451,2010,9,1,0,1,0,0,0,0,"hispanic",1,0,0,7,52.06631,2.523026,0
215000,2010,9,1,0,1,0,0,0,0,"hispanic",1,1,1,7,47.48577,1.028388,0
218643,2010,9,0,1,1,0,0,0,0,"hispanic",1,1,1,7,48.46506,3.900931,0
219889,2010,9,1,0,0,0,1,0,0,"black",1,0,1,7,32.90221,3.532111,0
220970,2010,9,0,1,1,0,0,0,0,"hispanic",1,0,1,7,50.48611,2.578977,0
236320,2010,9,0,1,1,0,0,0,0,"hispanic",1,1,0,7,42.95695,3.150327,0
251574,2010,9,1,0,1,0,0,0,0,"hispanic",1,1,0,7,49.46326,1.933264,0
258063,2010,9,1,0,0,0,1,0,0,"black",1,0,0,7,53.2274,2.170945,0
266642,2010,9,0,1,1,0,0,0,0,"hispanic",1,0,1,7,49.17992,1.72577,0
269262,2010,9,1,0,0,0,1,0,0,"black",1,0,0,7,54.93059,5.866768,0
35763,2010,10,0,1,1,0,0,0,0,"hispanic",1,0,0,7,61.06976,2.993826,0
39054,2010,10,0,1,1,0,0,0,0,"hispanic",1,0,1,7,60.42512,1.745769,0
92644,2010,10,1,0,0,0,1,0,0,"black",1,0,0,7,56.94831,2.283191,0
97040,2010,10,0,1,0,0,1,0,0,"black",1,0,0,7,58.77785,4.272618,0
101587,2010,10,1,0,0,0,1,0,0,"black",1,0,0,7,58.68291,2.718034,0
122666,2010,10,1,0,0,1,0,0,0,"white",1,0,0,7,61.07571,1.960793,0
132751,2010,10,1,0,0,0,1,0,0,"black",1,0,0,7,59.22068,3.119141,0
146803,2010,10,0,1,1,0,0,0,0,"hispanic",1,1,0,7,57.64223,1.532454,0
150802,2010,10,1,0,0,0,1,0,0,"black",1,0,0,7,61.77116,3.275556,0
153933,2010,10,1,0,0,0,1,0,0,"black",1,0,0,7,58.88988,3.523991,0
163233,2010,10,1,0,1,0,0,0,0,"hispanic",1,0,1,7,59.31925,2.649745,0
170765,2010,10,0,1,1,0,0,0,0,"hispanic",1,0,1,7,57.25428,4.283775,0
172206,2010,10,1,0,0,0,1,0,0,"black",1,0,1,7,58.74659,1.028198,0
174719,2010,10,0,1,0,0,1,0,0,"black",1,0,0,7,56.21788,2.504158,0
181511,2010,10,0,1,1,0,0,0,0,"hispanic",1,0,1,7,54.55794,2.992871,0
183638,2010,10,1,0,0,0,1,0,0,"black",1,0,1,7,56.48561,2.512847,0
184687,2010,10,1,0,0,0,1,0,0,"black",1,0,0,7,58.36993,2.421939,0
184798,2010,10,1,0,0,0,1,0,0,"black",1,0,0,7,60.24692,3.793715,0
213194,2010,10,1,0,0,0,1,0,0,"black",1,0,0,7,54.70702,2.241287,0
222893,2010,10,1,0,1,0,0,0,0,"hispanic",1,1,0,7,60.2058,3.11328,0
241379,2010,10,1,0,1,0,0,0,0,"hispanic",1,1,0,7,62.33564,3.070411,0
266533,2010,10,1,0,1,0,0,0,0,"hispanic",1,1,0,7,56.72491,3.953138,0
275606,2010,10,0,1,1,0,0,0,0,"hispanic",1,0,0,7,56.32287,3.367218,0
280158,2010,10,1,0,1,0,0,0,0,"hispanic",1,1,1,7,55.20543,2.572119,0
283932,2010,10,0,1,1,0,0,0,0,"hispanic",1,1,0,7,59.16692,3.520766,0
298162,2010,10,1,0,0,0,0,1,0,"asian",1,1,0,7,56.81205,4.181761,0
32906,2010,11,0,1,0,0,1,0,0,"black",1,0,0,7,60.17272,2.812582,0
35700,2010,11,0,1,1,0,0,0,0,"hispanic",1,0,1,7,59.96096,2.293471,0
43108,2010,11,1,0,0,0,1,0,0,"black",1,0,0,7,61.95375,2.083906,0
56980,2010,11,1,0,1,0,0,0,0,"hispanic",1,1,0,7,62.39298,3.550547,0
61061,2010,11,0,1,0,0,1,0,0,"black",1,0,0,7,61.27856,3.812132,0
73158,2010,11,0,1,0,0,1,0,0,"black",0,0,0,7,61.76725,2.654245,0
75868,2010,11,0,1,1,0,0,0,0,"hispanic",1,0,0,7,62.85809,4.085571,0
83567,2010,11,1,0,0,0,1,0,0,"black",1,0,0,7,60.83654,2.35318,0
139648,2010,11,1,0,1,0,0,0,0,"hispanic",1,0,0,7,62.26322,3.404832,0
144012,2010,11,0,1,0,0,1,0,0,"black",1,0,1,7,63.05077,2.656346,0
147775,2010,11,1,0,0,0,1,0,0,"black",1,0,0,7,59.90162,5.251251,0
